Indicator,Type,file name,Comment
e3c71eb1be138602883515b9f8fb02e1083afbaaeb8a3d50f8a09ded968ec1be,sha256,gh0st.exe,Gh0st RAT 1.0 Alpha C2 Controller 
179c1ec61dd2703232f0ee01d1e9c863ea8f971991c1d4e2955d523910b7ca02,sha256,,Higaisa Gh0st 2024
tongilaks.myonlineportal.net,C2,,Higaisa Gh0st 2024
b0b3f54f7b1355e6b917580e9b25329cd589d1e21c186f26492b980b972b965b,sha256,,Higaisa Gh0st described in Tecent's report
55aff6b19e84f01cd60063e5a16f8705ae007ea34c52731afb053febcd6f2bfd,sha256,300050311.bat,
67ec2b0904b5648f24b0def068a006ac8d4bf9e444bc0c28b993371b699277f2,sha256,abce1.exe,
959c11382b13be5f27f3c6f4cafc55bcd3b4429495eca78dfee16e0b2160f63f,sha256,abce5.exe,
d570410d7c923342dc8bc11f69801509a11806f238a31225005141b62cb6735a,sha256,abce6.exe,
2d39b0a8dd8b5d96c59149175266f29aff19a265af50e2590345c9eedb74c7df,sha256,sl_43.128.5.55_30005,
693a089f2bad69cfd6ff52ba94e401468bc373f03276f0caa712da0d65b0b01c,sha256,win.dat_43.128.5.55_30005,virus.zip
8f637d75eaf532a46607ab9aba43463dfb00c30071ec0d2acfb684d298aba9c3,sha256,win.dat_38.47.239.5_30000_re,
a45a18c424a3aa02a5101079135e5d8ba677dae9296552794b088cef7c6084fe,sha256,win.dat_211.101.235.144_30001_xn,
bd7da7d3849431b978856e4e250e12b3d02cbd6022debb650066cc2ee79177b1,sha256,win.dat_38.47.239.5_30000,
a490a64d9b8aae098795d49512fb0eaf0e9fc8d4de7381f89b8ce4dc727d3560,sha256,win.dat_211.101.235.148_30001,
8bed64203ea873c4ae4275bab9842f6367a3b17c635f14104436d7c2774c0682,sha256,NetEase.exe,legitimate
63199a3fdcaf21e16cb628aff61e69b9a43652e0df941085fba46eb6ae81ee4e,sha256,libxml2.dll,BlackDLL 2024
72708079b415dc67a50e39e4e8b29a3fd4db78dc920ae9829d3c871febe8ba1b ,sha256,win.dat,ChimeraGh0st encrypted file
bf5f135b3c116e679ce172a7b0774442052478cb64bc30e35c282e076dae451e,sha256,libxml2.dll ,BlackDLL 2024
30eb6137f08cecf1e79b4d897bbe88988d37f47cd610aef60c3338479e5d84c5,sha256,libxml2.dll,BlackDLL 2024
6e90eca06b9cbbb71c8cebd51e40bba644efff71352ff762ae3ac67888545e5b,sha256,libxml2.dll,BlackDLL 2024
082ac3e053d5429c7a6eddd37aaed8c389b47c060191a15c18468f583f9d5a1e,sha256,libxml2.dll,BlackDLL 2024
c96487b01c7e482f79cde8f089f476860069f9ffc0c5ea6a352ca14cea86f744,sha256,viurs.zip,Contains ChimeraGh0st related files
66e677b081e0361020cda4f218a501497faad1f6c0897f26c25ca51c4a5dad40,sha256,,BlackDLL 2016
122.228.116.12,C2,,ChimeraGh0st
118.99.40.68,C2,,ChimeraGh0st
38.181.44.108,C2,,ChimeraGh0st
38.47.239.5,C2,,ChimeraGh0st
211.101.235.144,C2,,ChimeraGh0st
211.101.235.148,C2,,ChimeraGh0st
43.128.5.55,C2,,ChimeraGh0st
chenshengjituan.cn,C2,,ChimeraGh0st
43.128.5.5,C2,,ChimeraGh0st
154.91.228.20,C2,,ChimeraGh0st
fe65f6a79528802cb61effc064476f7b48233fb0f245ddb7de5b7cc8bb45362e,sha256,,Nitol 
a5ca7b8af70d6e483007c6c9c60b0a2002e150b0f479744989fdd58ad2fc62d3,sha256,,FatalRAT Fake WinRAR installer
fba1b353b063a068bd8a191ce699d335158028a6c94282a27f86b784cd4e94e5,sha256,,FatalRAT Fake Chrome  installer
f80f8a725028bcc09639f7b1ff9439436d974f0bf92871048092eaec5d7458f0,sha256,,FatalRAT Fake Exodus Wallet installer
1-27.qq-weixin.org,C2,,FatalRAT
23ffebdad78847aae93875f090abd7a250e1248e957b149eabf01c9cf030c88d,sha256,,NetEaseX
dedabf797d15f04ff0f8a3b38a8588f6da5823c8457af192d2ce145833cb2909,sha256,,NetEaseX
f065c67a23e43833976ba6ffb622e8cc7436edfaf99dca4501becedf32483363,sha256,,NetEaseX
xzheng12800.f3322.net,C2,,NetEaseX
122.10.88.202,C2,,NetEaseX
041b1487f4660e7c2c615dc791813ff26db912cbae0e75d9fc1b92100ecf9d81,sha256,,Star Rat source code
